annual_rainfall,seasonal_rainfall,cloud_visibility,humidity,temperature,river_level,flood_occurred
1134.7,329.8,6.29,70.43,26.94,2.52,0
2365.16,1846.7,2.5,92.77,25.46,6.91,1
1587.79,549.29,11.09,39.13,30.91,3.22,0
928.89,289.73,10.86,62.45,28.87,2.41,0
2407.79,1682.22,3.3,93.41,30.25,10.94,1
765.04,179.63,6.99,51.26,37.56,1.44,0
2644.63,1914.77,0.39,76.12,19.3,7.16,1
1186.14,279.88,7.74,71.4,33.09,2.5,0
1165.23,320.12,9.54,,36.88,2.96,0
1961.86,1253.56,3.22,81.12,32.82,9.95,1
1914.97,1159.36,2.31,76.58,31.35,10.23,1
1032.06,275.94,12.38,55.57,25.84,2.44,0
932.51,218.74,7.46,55.66,26.52,1.86,0
2265.08,1810.07,0.97,88.86,24.8,8.34,1
2171.86,1713.64,3.29,91.01,26.05,10.77,1
1190.54,492.9,11.35,70.58,26.47,2.81,0
1263.08,499.07,11.26,61.8,23.89,5.01,0
1707.29,410.13,11.28,61.56,21.14,5.12,0
1687.5,538.55,5.55,55.73,33.63,4.54,0
758.69,251.05,8.8,61.23,28.35,3.84,0
818.04,401.99,11.6,62.3,23.74,4.09,0
1271.77,304.91,9.71,59.81,27.54,4.46,0
1389.62,550.08,6.87,61.26,23.67,1.22,0
1409.76,332.34,5.4,70.42,21.98,1.71,0
1173.95,511.98,6.02,56.88,33.53,1.32,0
539.82,243.62,6.19,65.24,35.42,3.61,0
1114.66,487.67,8.55,85.0,21.64,0.87,0
2015.75,1236.7,4.27,95.97,23.29,8.71,1
2391.55,1378.0,2.92,88.59,20.75,10.5,1
2385.13,1440.22,3.77,74.73,34.3,11.12,1
631.24,206.83,8.62,66.54,34.72,2.67,0
1579.59,476.77,8.03,69.63,29.59,4.31,0
946.64,233.96,7.02,52.22,38.56,2.79,0
1972.6,1490.17,2.27,99.41,26.39,12.21,1
2153.3,1220.07,3.44,84.51,27.02,5.41,1
2583.71,1541.15,1.79,92.09,25.77,9.46,1
1396.2,621.91,6.68,36.9,32.2,1.67,0
2082.81,1611.82,4.53,80.88,27.23,8.51,1
1752.56,889.88,3.75,83.13,24.6,12.15,1
2797.66,1647.23,3.29,80.3,35.31,6.61,1
1415.2,603.75,7.17,61.58,35.29,2.57,0
1572.99,1150.78,3.91,85.94,29.67,10.84,1
1988.51,1263.52,3.0,81.78,34.51,13.08,1
1440.69,430.08,12.52,59.85,38.82,2.53,0
885.27,331.06,5.76,60.63,26.05,5.19,0
2172.86,1731.43,0.2,89.56,28.64,11.68,1
2436.45,1542.97,0.85,82.78,21.44,9.05,1
1489.1,651.87,5.11,35.84,27.07,5.38,0
1312.49,580.95,7.42,32.12,26.26,2.3,0
2359.78,1762.23,2.5,88.53,26.97,11.27,1
2354.96,1423.04,1.85,79.15,23.64,9.27,1
2461.11,1904.26,2.17,92.05,21.42,6.77,1
849.4,345.48,7.33,38.08,29.52,3.34,0
833.75,414.1,12.68,50.89,31.41,2.33,0
2476.17,1857.69,1.41,85.59,27.7,9.33,1
599.42,158.02,10.02,67.12,29.2,2.36,0
2760.69,1665.89,2.34,84.67,19.04,10.06,1
2438.53,1914.39,4.24,89.82,26.48,12.38,1
1134.06,448.06,9.9,61.28,32.55,3.33,0
1953.26,987.51,4.61,85.72,27.22,11.38,1
1662.77,948.6,1.32,80.29,28.38,11.42,1
1063.72,513.96,6.41,43.61,25.78,3.27,0
1062.36,448.94,6.54,40.6,31.51,4.99,0
1416.09,535.4,5.91,67.48,32.41,2.57,0
2386.29,1504.23,1.83,90.52,28.32,7.79,1
2320.17,1610.81,2.88,91.16,21.94,6.15,1
2198.37,1681.53,4.9,80.59,32.12,7.04,1
2381.01,1660.65,1.56,76.62,25.29,9.2,1
1886.24,806.49,11.74,25.6,36.04,2.7,0
848.23,282.38,8.08,61.73,30.92,3.38,0
1109.6,347.31,7.34,44.02,24.09,3.87,0
1278.43,451.32,11.85,38.17,31.35,3.99,0
1814.29,1199.01,5.31,92.48,29.69,8.17,1
2600.05,1910.21,3.44,94.89,22.43,9.86,1
1281.35,461.96,4.5,63.63,29.28,3.46,0
2552.21,1490.44,4.08,88.21,26.54,8.71,1
2292.06,1251.3,3.6,86.93,34.1,13.66,1
2855.02,1859.64,3.47,82.7,31.3,8.06,1
823.28,275.44,5.67,53.93,26.85,3.27,0
828.83,185.13,9.14,56.73,29.49,2.51,0
1444.53,442.97,6.32,61.17,33.95,2.74,0
1414.87,378.15,10.8,50.33,32.69,3.42,0
2375.44,1869.89,1.34,81.41,23.81,8.7,1
2470.41,1274.47,0.69,84.32,23.12,6.3,1
2273.63,1482.91,1.98,79.39,24.75,4.0,1
2167.04,1648.68,0.24,82.26,29.93,9.87,1
2536.91,1640.19,2.24,99.33,24.15,4.28,1
1455.71,718.32,13.34,70.13,30.07,3.18,0
2084.61,1532.19,1.87,91.2,31.55,8.22,1
1218.05,593.83,6.93,62.8,33.35,1.62,0
594.97,170.11,5.87,51.78,24.17,3.02,0
2021.69,1085.51,3.28,94.64,21.96,12.22,1
2031.13,1526.56,2.57,79.42,28.8,10.47,1
648.58,226.11,9.47,42.8,31.75,5.5,0
1125.98,378.28,7.41,56.01,24.48,4.55,0
945.07,356.66,8.7,62.71,36.8,3.22,0
1348.15,504.16,10.38,,36.85,1.56,0
918.58,333.8,11.99,62.91,28.73,1.94,0
893.08,276.43,5.86,47.99,31.28,4.07,0
1808.01,1066.78,4.54,88.0,36.51,11.01,1
1433.81,511.73,3.96,38.79,31.95,2.69,0
1051.96,337.49,10.92,43.74,23.67,2.32,0
2557.41,1401.05,0.2,86.5,29.3,11.84,1
829.81,233.78,10.37,64.81,33.77,5.52,0
1307.88,493.78,7.01,65.69,30.09,3.34,0
2778.87,1621.56,5.1,95.73,28.63,10.81,1
2336.81,1253.61,3.91,81.9,30.46,8.49,1
304.71,144.42,9.26,64.36,29.38,3.92,0
1010.05,388.33,8.2,57.45,29.06,3.24,0
1026.28,277.76,10.85,61.97,28.16,1.56,0
1451.82,680.16,5.95,61.64,22.3,2.79,0
755.36,241.59,8.22,50.19,28.0,3.62,0
1478.58,648.5,11.85,69.9,31.45,4.84,0
1048.12,236.75,9.54,75.65,27.98,5.25,0
2590.23,1720.49,2.35,91.78,24.57,10.01,1
,1267.5,2.65,90.41,26.67,8.9,1
2669.53,1713.33,4.66,,22.27,15.0,1
1217.21,539.91,8.27,48.36,28.41,5.02,0
976.1,419.45,8.46,52.76,39.7,2.68,0
801.26,289.29,9.52,52.71,30.92,3.65,0
851.72,220.64,4.34,46.43,40.59,2.09,0
2542.73,1555.81,3.28,93.44,26.75,8.46,1
2606.43,1792.76,3.43,89.95,32.33,11.42,1
1244.67,567.46,7.85,53.16,35.77,1.64,0
822.66,301.84,10.5,69.05,28.87,3.25,0
1019.44,474.65,6.96,77.62,27.05,3.95,0
871.01,265.54,7.52,76.67,32.49,5.85,0
1059.79,373.11,10.32,71.32,24.93,3.29,0
1983.13,1531.77,1.94,83.74,25.32,7.41,1
1301.95,587.72,9.39,52.03,33.21,1.4,0
2160.79,1266.65,2.31,83.36,27.8,10.54,1
2773.19,1607.41,2.14,85.32,26.07,11.44,1
2111.58,1168.31,2.68,88.17,23.79,10.48,1
2749.36,1599.85,2.43,100.0,33.45,12.64,1
1089.59,444.45,12.9,53.82,30.08,2.08,0
568.09,142.0,5.21,49.5,33.41,3.43,0
1569.66,398.22,9.26,37.63,35.63,2.61,0
2234.97,1796.89,2.86,90.78,28.23,10.44,1
1429.63,350.5,8.05,69.73,26.0,5.66,0
732.27,169.26,8.83,,33.79,3.36,0
1181.47,401.34,7.6,62.07,30.53,2.76,0
1643.47,1336.58,3.09,83.13,30.02,8.36,1
1646.96,1140.02,1.74,92.98,20.23,10.91,1
850.29,232.11,11.0,61.72,32.79,3.43,0
3296.45,1737.64,0.45,87.65,29.37,7.66,1
1215.6,401.73,9.94,73.12,24.42,2.78,0
1058.46,398.14,9.87,55.71,27.27,5.47,0
2345.55,1433.12,2.5,85.18,34.8,9.91,1
1551.2,723.31,6.94,54.89,24.13,1.04,0
1073.49,370.82,6.54,52.34,32.4,4.54,0
2407.26,1325.97,4.75,70.01,28.54,10.48,1
1111.47,535.67,7.53,61.22,31.04,2.64,0
896.92,363.52,7.04,57.16,29.83,0.94,0
1483.54,501.75,10.42,32.96,33.15,5.05,0
1055.72,511.52,5.19,54.49,29.07,2.14,0
1618.26,669.23,10.11,71.35,27.27,3.32,0
635.41,265.54,9.51,42.63,25.67,2.9,0
1355.07,476.08,10.25,59.03,22.8,3.77,0
1092.74,462.85,6.61,59.56,37.64,4.06,0
2053.66,1574.74,2.25,87.65,20.59,5.09,1
2417.33,1209.79,4.99,96.5,30.17,9.96,1
1075.2,320.45,,43.58,34.14,2.53,0
1250.25,380.63,7.83,63.09,28.79,2.73,0
642.3,191.99,8.08,66.93,26.09,1.76,0
940.92,469.87,4.88,64.3,30.6,3.52,0
1188.97,555.08,6.23,40.94,28.51,2.43,0
2856.31,1618.35,2.27,82.86,29.96,6.98,1
711.48,322.0,6.63,32.75,29.79,4.43,0
2065.47,1339.73,1.0,84.88,33.0,9.4,1
1866.96,1088.19,3.71,96.5,25.18,8.82,1
1610.66,391.88,8.45,60.67,26.93,4.01,0
1253.98,462.42,5.23,49.88,24.84,4.24,0
2324.07,1494.21,1.98,88.18,28.02,5.79,1
992.07,273.17,9.77,70.64,29.64,3.53,0
1225.71,388.75,8.48,51.37,29.86,2.23,0
1520.84,756.3,8.34,63.42,18.09,3.21,0
1032.57,285.51,8.71,53.7,34.34,2.35,0
634.8,250.35,9.08,45.16,36.31,4.29,0
1400.31,459.05,5.63,59.16,29.17,3.06,0
1287.69,580.35,9.96,70.88,21.42,1.11,0
1253.36,315.22,5.9,,21.73,2.4,0
436.44,165.29,9.85,52.96,40.53,5.12,0
2135.26,1647.94,4.31,91.78,34.14,8.49,1
695.54,310.8,7.22,84.46,33.95,0.5,0
1389.23,526.94,7.1,79.65,24.21,3.0,0
2195.79,1716.77,1.87,95.76,28.33,10.77,1
1014.2,485.44,6.4,,34.58,1.87,0
680.43,307.53,6.36,61.61,29.67,4.53,0
2397.12,1597.12,3.12,90.84,34.08,8.33,1
2113.26,1599.34,3.21,78.09,22.27,9.4,1
645.28,291.69,7.18,60.35,36.68,3.1,0
2083.05,1370.86,3.05,91.41,33.91,11.0,1
1832.31,961.09,3.38,76.62,25.68,9.96,1
1417.98,331.94,11.25,54.81,28.42,2.06,0
2401.8,1218.84,1.87,85.55,25.68,4.46,1
2449.89,2002.46,2.95,86.97,29.8,8.1,1
828.89,343.17,8.03,63.86,35.98,2.02,0
1285.75,424.88,10.79,44.08,35.45,1.36,0
690.21,158.12,10.95,67.74,34.1,4.04,0
889.4,240.95,7.67,53.11,24.65,0.5,0
1773.05,1367.59,2.5,74.03,29.09,8.33,1
2425.02,1539.07,1.58,77.14,32.23,13.09,1
2709.07,1924.71,2.67,88.7,31.16,7.33,1
1312.43,360.38,9.38,64.52,35.99,2.03,0
1403.44,452.33,5.37,64.38,29.92,0.62,0
1829.03,927.2,0.59,96.86,28.92,7.89,1
1661.29,793.79,7.31,57.54,15.44,2.5,0
1085.4,482.74,8.73,45.76,33.5,5.49,0
2351.99,1732.8,2.87,86.42,29.96,9.8,1
892.13,354.97,10.89,47.01,24.44,3.95,0
884.05,333.65,10.8,57.47,37.65,4.68,0
1003.3,415.51,6.04,83.81,36.69,3.08,0
2100.83,1227.8,2.75,85.46,25.53,10.99,1
2185.18,1363.6,4.37,86.52,22.07,10.07,1
1189.1,539.59,8.65,64.24,23.03,2.54,0
2542.97,1537.29,2.7,84.55,32.48,12.28,1
842.85,238.78,3.82,83.04,36.48,1.19,0
1080.94,363.01,4.53,62.11,39.15,5.51,0
1054.26,302.73,12.5,54.19,38.06,3.26,0
1248.21,493.98,4.79,80.54,27.3,2.12,0
726.28,210.11,8.97,38.31,29.77,3.19,0
453.98,185.52,6.24,40.49,29.71,5.65,0
603.54,265.0,5.07,68.42,25.27,3.0,0
2160.58,1440.89,1.18,93.35,22.83,8.84,1
1061.74,392.83,11.76,60.36,42.43,5.45,0
1175.95,488.21,7.54,48.88,31.44,3.01,0
1254.28,622.2,10.82,52.08,28.53,2.16,0
942.27,374.15,8.51,54.46,14.83,0.5,0
821.79,206.66,2.5,57.0,27.27,2.43,0
2275.69,1609.97,1.27,94.85,28.71,4.0,1
1205.19,343.72,8.59,40.26,30.33,4.62,0
1117.89,502.99,7.38,53.8,28.74,5.56,0
2055.4,1120.02,5.79,84.51,29.12,5.36,1
1370.68,684.13,7.86,47.9,24.73,2.74,0
2267.23,1822.03,1.73,80.98,31.41,7.08,1
1225.86,387.43,6.59,75.35,24.16,2.09,0
884.25,242.2,7.1,60.91,24.39,3.86,0
2284.19,1611.27,,91.36,27.03,13.71,1
1695.62,1083.45,4.24,89.18,27.79,9.13,1
1354.53,486.94,8.23,62.54,37.77,0.62,0
935.38,361.97,8.7,77.71,45.0,5.04,0
715.1,286.03,7.3,56.59,28.94,5.56,0
2380.1,1891.77,1.31,90.13,22.42,10.25,1
1181.14,300.97,11.18,64.02,28.22,4.0,0
701.54,258.76,9.34,66.13,26.81,4.33,0
3260.09,1882.66,2.68,73.53,25.66,9.81,1
1104.18,371.48,8.62,60.45,27.02,4.09,0
1805.56,1468.46,2.62,82.59,24.77,11.88,1
881.86,435.14,6.79,57.98,24.22,3.95,0
2633.96,1483.19,1.08,80.48,33.8,8.18,1
1386.2,553.96,6.33,58.21,27.31,2.92,0
824.4,380.21,7.63,38.11,32.53,2.5,0
1608.52,644.96,9.29,51.82,32.41,3.29,0
783.03,370.85,7.39,66.78,16.91,2.83,0
802.58,266.88,8.36,60.7,29.21,3.67,0
1276.57,448.63,,49.51,24.5,2.8,0
1626.44,786.57,4.23,51.23,34.05,3.88,0
2298.13,1265.62,2.58,86.56,32.11,10.71,1
1837.79,1334.38,2.81,88.39,23.58,7.32,1
2400.2,1816.52,2.16,82.68,23.09,8.53,1
2035.99,1438.64,1.42,94.28,29.77,4.76,1
1229.89,608.06,9.96,48.94,36.61,7.07,0
1696.26,912.34,0.63,62.08,29.3,4.0,1
2272.38,1290.85,2.86,70.18,27.0,7.78,1
1218.34,288.36,9.61,43.86,30.67,3.15,0
1172.23,541.13,3.09,59.49,30.48,5.75,0
1309.47,316.63,5.95,70.68,33.7,2.89,0
1024.99,405.83,2.5,55.42,37.18,2.98,0
1038.9,385.12,4.79,,31.77,3.87,0
2462.21,1717.42,0.38,85.99,26.36,8.19,1
2420.61,1732.0,,82.92,26.63,9.36,1
958.42,317.39,10.97,48.91,28.46,1.97,0
1205.75,562.8,7.46,62.54,31.64,3.36,0
2253.65,1802.85,3.83,85.98,28.68,10.12,1
1430.99,674.06,11.34,36.11,33.63,2.76,0
,535.12,6.1,59.14,29.13,1.95,0
724.67,244.46,9.81,58.49,23.37,3.25,0
2472.12,1470.91,3.63,92.7,26.54,9.08,1
854.54,291.57,10.74,62.18,31.64,3.47,0
1085.92,298.71,8.34,78.05,26.12,1.65,0
1156.91,417.53,5.83,56.67,33.21,4.32,0
571.09,144.25,10.19,61.39,31.24,2.53,0
2176.72,1197.95,4.02,90.26,30.01,9.23,1
2400.4,1297.01,2.05,100.0,21.07,9.31,1
2820.16,1728.76,3.18,81.2,35.25,6.79,1
2240.51,1596.33,2.67,74.0,31.35,6.68,1
858.9,337.39,3.59,65.41,33.92,4.57,0
798.19,327.5,4.83,84.48,28.48,4.76,0
1084.94,250.66,14.05,52.82,26.08,6.43,0
721.73,325.15,6.72,57.84,28.16,1.85,0
873.28,218.19,7.46,53.03,28.38,0.5,0
898.81,413.82,3.65,64.78,23.06,3.85,0
2111.31,1126.27,1.75,84.85,27.19,6.35,1
990.51,328.85,10.44,60.51,30.99,1.33,0
1743.54,596.14,4.14,61.5,38.06,1.28,0
1659.73,388.67,6.14,54.96,36.58,3.86,0
2224.86,1327.32,0.98,84.98,22.85,6.54,1
1344.05,424.01,11.36,63.79,28.17,2.16,0
2384.79,1652.95,4.14,82.85,24.09,6.99,1
619.73,254.38,12.36,45.49,28.81,1.74,0
1158.23,272.56,10.55,67.13,33.85,4.13,0
1904.12,1264.88,3.18,93.82,24.9,7.56,1
1271.94,607.75,7.65,75.23,35.29,4.83,0
793.63,257.89,7.45,63.48,31.14,0.5,0
2354.43,1552.68,2.32,95.37,21.52,6.24,1
768.04,181.79,8.49,48.45,26.36,2.94,0
2186.57,1441.92,5.23,87.49,30.94,8.6,1
808.08,400.57,7.44,40.12,28.47,0.5,0
2493.99,1551.48,1.13,100.0,34.9,11.06,1
788.83,269.13,11.11,61.85,32.11,2.44,0
968.98,361.38,10.97,43.85,30.28,3.28,0
1015.46,312.13,10.39,62.5,34.0,4.23,0
1509.21,900.8,2.07,83.04,29.56,8.37,1
,633.78,11.79,57.02,36.43,4.45,0
905.92,337.45,2.5,75.36,32.92,1.98,0
2427.81,1742.38,1.55,99.3,28.83,13.43,1
739.91,231.21,10.25,25.38,23.59,2.87,0
2000.36,1071.04,4.05,89.53,32.29,10.5,1
798.78,201.84,9.81,70.52,32.6,1.67,0
1033.62,419.78,10.23,60.34,38.41,0.5,0
1289.83,600.87,6.5,55.41,32.89,3.31,0
1861.66,1210.39,3.66,69.39,29.68,9.3,1
1424.01,409.62,7.86,47.98,32.28,2.96,0
969.35,369.96,6.37,78.37,26.26,4.6,0
1155.45,576.74,8.37,39.51,29.6,3.39,0
1105.53,259.05,12.18,66.15,28.12,4.64,0
1585.16,395.69,7.06,72.75,27.72,3.01,0
2334.61,1566.86,1.21,88.74,25.07,11.03,1
1078.85,513.08,6.71,33.52,17.7,2.39,0
1129.42,492.69,10.02,53.99,30.79,3.97,0
2126.78,1736.21,0.6,73.16,20.73,11.6,1
2570.03,1463.9,0.2,85.83,25.18,5.54,1
775.68,332.5,8.23,76.17,26.7,1.82,0
2835.56,2230.17,4.47,,29.07,9.31,1
2314.49,1198.89,0.2,100.0,19.91,10.42,1
956.25,310.37,7.56,65.97,24.23,2.64,0
938.35,449.38,4.49,63.63,28.08,2.43,0
2101.56,1530.06,2.14,79.78,30.37,12.2,1
1729.92,583.04,7.93,51.67,15.16,2.6,0
1108.5,305.52,4.87,66.72,31.18,0.5,0
2048.65,1104.13,4.09,75.3,31.37,6.19,1
1808.33,937.02,2.43,83.05,29.03,6.27,1
2469.96,1808.13,2.97,78.41,28.21,12.94,1
2037.14,1022.2,1.95,94.82,25.11,12.23,1
2766.7,1907.61,3.56,91.79,25.04,11.45,1
1573.44,548.65,10.01,73.3,25.75,3.79,0
989.14,397.84,3.42,73.9,16.97,1.68,0
1029.79,454.72,8.22,52.35,38.55,3.09,0
1166.64,569.04,5.79,43.72,42.62,3.02,0
1045.13,510.32,8.49,78.66,22.72,2.62,0
1029.68,251.36,7.55,60.94,30.28,4.77,0
2590.06,1748.72,2.92,83.72,29.9,5.98,1
1190.79,510.01,8.27,60.72,33.5,1.77,0
1517.74,743.03,10.77,75.11,35.28,3.24,0
1481.47,521.61,7.11,34.27,34.05,2.1,0
908.68,213.56,6.81,73.77,19.19,4.23,0
1164.41,519.37,13.53,70.04,27.02,5.13,0
2315.58,1630.8,2.36,85.68,30.42,8.98,1
1248.7,595.15,5.72,78.68,27.97,4.35,0
2365.19,1352.17,3.59,73.54,23.59,6.52,1
1145.71,327.92,9.75,48.25,24.96,3.4,0
675.89,212.34,9.1,84.52,22.83,3.76,0
3008.41,1710.2,0.54,85.04,31.37,9.64,1
2723.61,2040.94,3.2,81.69,30.43,8.73,1
1303.38,335.53,5.5,65.44,31.53,2.04,0
1216.88,597.68,6.86,51.15,22.78,3.39,0
2734.34,1785.02,1.54,92.71,28.14,7.92,1
1247.74,362.65,6.35,69.53,24.56,3.1,0
1156.03,470.83,10.6,82.03,32.46,5.56,0
1393.66,526.59,7.17,76.91,28.42,3.92,0
1196.82,435.7,6.08,61.61,28.2,3.78,0
947.56,420.93,6.85,63.92,34.11,4.19,0
1177.27,271.94,7.07,49.44,24.19,1.28,0
2668.57,1516.61,3.16,95.75,24.94,7.75,1
1266.68,368.34,4.56,64.71,30.28,2.83,0
1090.19,378.48,8.34,31.82,27.19,2.34,0
1070.42,462.27,7.8,72.0,27.41,1.43,0
926.93,430.47,4.61,53.12,28.69,1.24,0
1054.62,501.38,9.81,51.08,26.22,3.29,0
1125.15,384.91,8.55,79.65,30.55,3.44,0
1026.18,425.94,8.48,60.16,23.34,5.07,0
2540.84,1596.35,2.62,87.63,21.22,11.45,1
696.21,218.23,7.93,36.13,24.57,4.16,0
1889.71,775.05,7.14,75.91,25.89,5.93,0
1271.62,557.72,8.28,54.64,25.9,3.62,0
1962.12,1314.8,0.69,89.49,25.66,10.14,1
934.91,243.9,9.23,59.4,36.42,2.79,0
1249.4,460.93,7.3,49.72,29.43,1.06,0
1587.4,583.06,7.87,67.12,34.16,1.81,0
1011.52,234.29,8.63,43.93,23.77,3.34,0
1046.97,253.16,5.73,45.53,32.21,4.06,0
1434.3,673.96,6.06,59.1,33.8,4.32,0
1071.41,414.52,4.98,51.98,31.37,3.43,0
809.5,308.09,6.13,55.06,33.03,2.82,0
2410.38,1288.22,2.65,94.85,26.01,7.73,1
1878.57,1486.25,1.17,79.17,27.41,4.0,1
1022.34,291.41,7.69,52.04,26.43,5.64,0
2180.43,1608.29,1.54,97.32,28.4,10.59,1
1638.76,686.03,8.98,49.85,29.54,3.16,0
1297.56,417.34,7.54,58.9,25.7,2.94,0
2468.52,1627.46,1.01,81.59,23.48,8.74,1
1012.49,451.93,8.37,53.5,18.06,3.38,0
1293.61,416.74,3.63,66.83,38.02,2.75,0
217.88,91.82,8.75,57.13,36.33,0.5,0
2062.2,1265.77,4.49,93.7,27.35,9.2,1
1032.05,242.94,4.31,56.18,31.84,5.77,0
1040.8,307.08,15.0,47.93,25.86,4.41,0
1108.62,372.76,8.18,54.79,26.98,3.74,0
1030.72,347.97,8.5,25.23,26.77,4.4,0
2782.62,1909.97,4.15,82.83,30.97,9.3,1
1055.9,268.16,5.06,53.95,37.03,2.91,0
1246.81,533.43,11.83,57.21,31.64,3.46,0
1956.15,1289.45,2.99,92.72,34.04,12.88,1
2799.29,1438.34,5.69,92.46,27.0,10.62,1
2615.7,1946.62,1.89,72.17,21.98,13.32,1
1202.82,419.79,11.08,52.16,33.11,4.03,0
2356.21,1352.62,1.81,97.61,18.67,7.49,1
1078.4,435.98,6.28,48.04,28.66,1.05,0
2744.07,1671.33,1.38,79.89,30.61,10.34,1
908.81,262.62,10.64,56.77,32.76,4.65,0
567.13,210.02,7.72,56.53,40.43,3.59,0
1276.57,474.58,,38.99,33.81,3.37,0
644.64,145.07,10.58,75.91,33.58,3.17,0
2601.72,1775.34,3.76,95.91,25.77,8.59,1
1177.33,291.33,9.64,75.28,32.39,1.92,0
1295.06,369.3,5.97,68.79,33.41,3.29,0
1347.53,617.77,13.72,58.05,29.36,3.75,0
1107.35,381.32,6.56,37.6,26.14,3.26,0
2455.76,1630.75,1.86,88.0,30.47,8.93,1
488.23,231.99,7.73,34.4,27.24,3.44,0
633.03,203.52,3.25,35.14,31.47,3.49,0
896.68,355.88,9.49,61.1,40.85,5.04,0
2674.39,2100.59,1.59,84.54,27.36,8.36,1
1321.64,486.41,8.35,45.41,36.04,3.35,0
896.73,262.12,6.62,60.94,27.63,4.36,0
1003.58,377.19,7.46,50.36,33.14,3.67,0
2518.14,1904.88,1.79,82.86,27.54,6.2,1
831.48,245.33,7.66,78.78,38.09,3.59,0
998.87,242.05,5.94,38.64,27.38,1.88,0
670.96,306.71,10.16,54.25,28.35,1.65,0
1991.09,1394.84,1.36,90.83,29.12,9.67,1
2031.29,1529.79,4.37,86.01,24.7,12.1,1
2568.84,1783.42,1.62,77.01,28.27,4.0,1
2743.93,1392.0,4.73,96.93,21.85,10.78,1
845.71,327.02,8.25,51.93,29.58,3.87,0
2069.66,1503.21,2.35,78.95,32.95,13.93,1
774.45,251.96,5.11,48.75,33.33,3.79,0
1279.22,403.87,9.1,60.28,26.21,5.36,0
1142.38,467.88,8.29,54.04,39.33,2.27,0
1337.31,587.51,2.5,83.79,27.04,3.6,0
1411.97,671.68,7.02,42.85,37.52,3.33,0
2194.07,1736.94,0.2,78.64,29.25,9.63,1
2655.37,1785.29,0.2,90.98,30.25,6.85,1
917.64,224.69,6.03,66.78,35.81,4.55,0
1012.46,431.52,11.37,77.7,35.73,3.29,0
1297.77,346.03,7.02,62.3,31.09,3.58,0
1041.59,402.99,8.38,51.19,32.97,2.37,0
617.76,153.25,5.37,71.63,35.5,3.42,0
